time,pm2_5,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,pm10,Proximity_to_Industrial_Areas,Population_Density
2025-08-15T00:00,7.7,5.6,1.7,150.0,24.1,70,0,1,1500
2025-08-15T01:00,7.9,5.3,1.7,150.0,24.0,70,0,1,1500
2025-08-15T02:00,7.9,5.0,1.7,147.0,24.0,71,0,1,1500
2025-08-15T03:00,7.8,5.0,1.6,146.0,23.8,70,0,1,1500
2025-08-15T04:00,7.9,4.9,1.4,146.0,23.8,69,0,1,1500
2025-08-15T05:00,8.0,4.8,1.5,147.0,23.9,66,0,1,1500
2025-08-15T06:00,8.0,4.7,1.7,147.0,23.6,66,0,1,1500
2025-08-15T07:00,8.2,5.1,1.8,150.0,23.8,64,0,1,1500
2025-08-15T08:00,7.8,5.0,1.6,151.0,24.5,61,0,1,1500
2025-08-15T09:00,7.0,4.0,1.6,150.0,25.4,58,0,1,1500
2025-08-15T10:00,6.8,3.2,1.5,150.0,26.3,59,0,1,1500
2025-08-15T11:00,6.8,2.7,1.3,150.0,27.4,51,0,1,1500
2025-08-15T12:00,6.9,2.4,1.2,148.0,27.9,46,0,1,1500
2025-08-15T13:00,7.1,2.4,1.2,147.0,28.4,45,0,1,1500
2025-08-15T14:00,7.5,2.4,1.3,147.0,28.5,47,0,1,1500
2025-08-15T15:00,7.6,2.5,1.2,148.0,28.3,50,0,1,1500
2025-08-15T16:00,7.4,2.6,1.2,151.0,28.0,51,0,1,1500
2025-08-15T17:00,7.5,3.0,1.4,147.0,27.7,48,0,1,1500
2025-08-15T18:00,7.4,3.6,1.6,149.0,27.3,50,0,1,1500
2025-08-15T19:00,7.4,4.5,1.9,156.0,26.3,54,0,1,1500
2025-08-15T20:00,7.4,4.9,2.0,158.0,25.4,60,0,1,1500
2025-08-15T21:00,7.4,5.3,2.1,156.0,24.5,68,0,1,1500
2025-08-15T22:00,8.0,5.1,2.2,154.0,24.2,69,0,1,1500
2025-08-15T23:00,8.0,4.9,2.2,154.0,24.0,68,0,1,1500
2025-08-16T00:00,7.9,4.9,1.9,154.0,23.7,70,0,1,1500
2025-08-16T01:00,7.8,4.7,2.0,152.0,23.5,70,0,1,1500
2025-08-16T02:00,7.7,4.6,2.0,152.0,23.4,73,0,1,1500
2025-08-16T03:00,7.8,4.7,2.0,150.0,23.1,77,0,1,1500
2025-08-16T04:00,7.6,4.8,1.8,154.0,23.1,76,0,1,1500
2025-08-16T05:00,7.3,4.8,1.8,152.0,23.1,73,0,1,1500
2025-08-16T06:00,7.0,5.1,1.9,152.0,22.6,71,0,1,1500
2025-08-16T07:00,7.0,4.7,2.1,154.0,22.8,72,0,1,1500
2025-08-16T08:00,7.4,4.0,1.7,155.0,23.7,67,0,1,1500
2025-08-16T09:00,8.1,3.3,1.8,160.0,25.0,61,0,1,1500
2025-08-16T10:00,9.1,2.8,1.9,166.0,26.1,56,0,1,1500
2025-08-16T11:00,9.7,2.5,1.8,165.0,26.9,53,0,1,1500
2025-08-16T12:00,10.1,2.3,1.6,159.0,27.6,51,0,1,1500
2025-08-16T13:00,9.6,2.3,1.5,155.0,27.4,53,0,1,1500
2025-08-16T14:00,8.3,2.3,1.5,157.0,27.5,48,0,1,1500
2025-08-16T15:00,7.9,2.4,1.5,151.0,27.9,39,0,1,1500
2025-08-16T16:00,7.2,2.5,1.5,151.0,27.3,45,0,1,1500
2025-08-16T17:00,7.1,2.9,1.6,155.0,26.5,47,0,1,1500
2025-08-16T18:00,6.6,3.6,1.6,156.0,26.0,51,0,1,1500
2025-08-16T19:00,6.1,4.6,1.8,155.0,25.2,51,0,1,1500
2025-08-16T20:00,6.1,5.4,1.9,155.0,24.3,55,0,1,1500
2025-08-16T21:00,6.4,5.8,2.0,158.0,23.6,58,0,1,1500
2025-08-16T22:00,7.5,6.8,3.0,158.0,23.0,62,0,1,1500
2025-08-16T23:00,7.7,7.2,3.2,158.0,22.6,63,0,1,1500
2025-08-17T00:00,8.1,7.0,2.3,159.0,22.3,65,0,1,1500
2025-08-17T01:00,8.4,6.8,2.4,156.0,22.0,68,0,1,1500
2025-08-17T02:00,8.3,7.1,2.3,152.0,21.9,69,0,1,1500
2025-08-17T03:00,7.8,7.0,2.0,155.0,21.5,64,0,1,1500
2025-08-17T04:00,8.2,7.2,1.9,154.0,21.4,69,0,1,1500
2025-08-17T05:00,7.5,7.5,1.9,152.0,21.3,70,0,1,1500
2025-08-17T06:00,7.2,7.7,2.3,156.0,21.1,71,0,1,1500
2025-08-17T07:00,8.3,7.5,2.3,157.0,21.3,69,0,1,1500
2025-08-17T08:00,8.0,5.1,2.0,156.0,22.6,66,0,1,1500
2025-08-17T09:00,8.4,4.3,1.8,156.0,24.8,60,0,1,1500
2025-08-17T10:00,8.8,3.4,1.8,155.0,26.0,55,0,1,1500
2025-08-17T11:00,8.9,2.9,1.6,154.0,27.4,51,0,1,1500
2025-08-17T12:00,8.5,2.6,1.4,154.0,27.2,56,0,1,1500
2025-08-17T13:00,8.2,2.5,1.4,154.0,27.5,54,0,1,1500
2025-08-17T14:00,8.1,2.6,1.5,153.0,27.7,54,0,1,1500
2025-08-17T15:00,8.0,2.6,1.5,152.0,27.7,54,0,1,1500
2025-08-17T16:00,7.8,2.9,1.5,152.0,27.4,54,0,1,1500
2025-08-17T17:00,8.0,3.4,1.5,151.0,26.5,57,0,1,1500
